,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06
한미연합훈련,0,0,0,0,0,0,0,0,319,319,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한미정상회담,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0
한반도,1149,1156,1067,1558,1564,3096,3983,3821,2879,2879,1064,3132,2195,1535,1333,1180,1505,1236,1513,1003,2389,1087,992,1132,599,1065,889,713,269,223,337,246,1772,937,501,1111,811,1698,600,1156,873,1066,802,1327,872
한반도_비핵화,0,0,0,0,0,379,338,291,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한반도_평화,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,199,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한유총,0,0,0,0,0,0,0,0,0,0,0,0,143,158,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
할머니,0,144,0,257,0,0,0,0,0,0,229,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
합의문,0,0,0,0,0,0,214,0,610,610,0,222,0,0,0,0,242,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0
합의서,0,0,0,0,0,0,0,0,0,0,0,282,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0
핫라인,0,0,0,0,0,0,397,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
항소심,0,0,127,0,270,0,0,0,0,0,224,0,0,0,0,165,0,184,0,172,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0
해리스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,199.5,399,0,0,0,0,0,0,512,0,217,318,0,181,0,0,0,0,0
해임건의안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
핵무기,354,106,151,193,0,198,464,596,251,251,0,220,143,0,0,308,204,207,164,0,0,162,0,115,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,158,0,0,0,0,0
핵시설,0,0,0,0,0,0,0,0,0,0,0,345,210,0,0,0,489,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
핵실험,219,109,197,0,0,0,542,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
핵실험장,0,0,0,0,0,0,501,1865,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
행정관,128,142,0,176,169,233,259,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,127,254,182,136,0,191,0,0,0,0,269,0,0,0,0,0,0,0,0
행정부,126,110,168,156,186,227,0,224,0,0,0,192,180,212,155,165,0,201,0,138,0,233,153,180,0,144,150.5,157,108,0,0,133,170,165,127,0,264,1839,775,1448,736,1266,435,781,267
행정수도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986,244,0,0,0,0,0,0,0,0,0,0
헌법재판관,228,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
헝가리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
혁신성장,131,0,0,0,0,0,0,0,212,212,276,0,0,187,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
혁신위,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
혁통위,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.5,467,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
현대화,0,0,0,0,0,0,0,0,214,214,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
현수막,0,0,0,0,0,0,0,0,253,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,150,0,0
현충일,0,0,0,0,0,0,0,0,216,216,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
협의체,0,0,0,0,0,0,0,0,0,0,191,0,174,458,154,0,0,0,0,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
협의회,0,0,0,0,0,0,0,0,0,0,0,202,143,158,0,0,140,204,147,124,186,262,172,163,243,335,238,141,172,0,0,174,281,299,144,169,253,303,197,187,156,279,165,150,216
호르무즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,244,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
호소인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,146,0,0,0
홍남기,0,0,0,0,0,0,0,0,0,0,0,0,0,265,261,144,0,0,137,127,0,236,121,0,183,0,0,0,109,248,200,0,194,233,327,323,452,420,169,242,374,223,292,0,185
홍영표,0,0,0,0,0,0,0,254,0,0,0,0,0,202,204,159,0,214,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0
홍준표,430,419,603,449,241,505,531,820,865,865,0,0,0,228,203,391,283,0,0,124,0,0,135,208,165,301,252.5,204,362,683,729,347,186,172,0,183,0,183,165,0,135,197,211,378,398
화이트리스트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
확성기,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0
확진자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,930,491,175,0,396,815,418,239,320,592,415,0,143,235,0,0
환경부,0,0,0,0,0,0,0,0,0,0,130,0,0,0,267,0,360,434,316,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,210,0,206,0,166,225,364,0,0,0,0
활동비,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0
활성화,0,0,0,0,0,0,0,224,246,246,0,0,153,0,0,184,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
황교안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,1153,932,801,1147,880,763,519,637,700,1258,1018.5,779,861,949,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
황교안_대표,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,191,179,0,0,0,0,273,218,163,115,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
회고록,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879,0,0,0,0,0,0,0,0,0,0,200,0
획정안,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
후보들,0,0,0,0,0,280,451,1116,1328,1328,140,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,171,0,0,0,139
후보자,651,863,337,209,334,752,921,995,679,679,509,792,545,465,356,385,383,2241,2171,0,731,759,3629,4217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
