year,month,day,NSI
2007,1,20,109.09
2007,1,21,109.02
2007,1,22,108.54
2007,1,23,109.18
2007,1,24,107.36
2007,1,25,110.47
2007,1,26,110.52
2007,1,27,112.24
2007,1,28,112.04
2007,1,29,113.66
2007,1,30,113.2
2007,1,31,115.29
2007,2,1,114.14
2007,2,2,114.46
2007,2,3,116.49
2007,2,4,116.9
2007,2,5,116.67
2007,2,6,116.18
2007,2,7,116.98
2007,2,8,119.07
2007,2,9,118.81
2007,2,10,118.32
2007,2,11,117.99
2007,2,12,117.35
2007,2,13,115.74
2007,2,14,114.82
2007,2,15,114.78
2007,2,16,114.08
2007,2,17,113.22
2007,2,18,112.9
2007,2,19,113.93
2007,2,20,117.88
2007,2,21,117.02
2007,2,22,115.68
2007,2,23,119.6
2007,2,24,121.54
2007,2,25,122.25
2007,2,26,122.1
2007,2,27,121.58
2007,2,28,122.43
2007,3,1,118.64
2007,3,2,115.34
2007,3,3,113.08
2007,3,4,112.29
2007,3,5,109.99
2007,3,6,108.89
2007,3,7,109.23
2007,3,8,112.72
2007,3,9,113.77
2007,3,10,113.43
2007,3,11,113.37
2007,3,12,114.73
2007,3,13,114.02
2007,3,14,113.51
2007,3,15,110.3
2007,3,16,109.94
2007,3,17,110.43
2007,3,18,111.53
2007,3,19,111.9
2007,3,20,113.72
2007,3,21,114.59
2007,3,22,117.24
2007,3,23,116.81
2007,3,24,117.91
2007,3,25,117.59
2007,3,26,118.9
2007,3,27,118.32
2007,3,28,119.19
2007,3,29,121.06
2007,3,30,121.77
2007,3,31,122.65
2007,4,1,123.16
2007,4,2,122.12
2007,4,3,124.8
2007,4,4,124.88
2007,4,5,124.55
2007,4,6,124.84
2007,4,7,125.19
2007,4,8,124.82
2007,4,9,124.78
2007,4,10,125.82
2007,4,11,126.02
2007,4,12,126.18
2007,4,13,125.08
2007,4,14,123.39
2007,4,15,122.74
2007,4,16,122.89
2007,4,17,120.82
2007,4,18,120.06
2007,4,19,120.18
2007,4,20,119.95
2007,4,21,120.72
2007,4,22,121.05
2007,4,23,121.63
2007,4,24,122.2
2007,4,25,123.04
2007,4,26,122.52
2007,4,27,125.22
2007,4,28,124.66
2007,4,29,124.2
2007,4,30,123.86
2007,5,1,121.96
2007,5,2,121.59
2007,5,3,122.34
2007,5,4,121.05
2007,5,5,121.08
2007,5,6,121.6
2007,5,7,121.57
2007,5,8,124.01
2007,5,9,124.48
2007,5,10,123.99
2007,5,11,124.89
2007,5,12,125.33
2007,5,13,125.3
2007,5,14,125.27
2007,5,15,123.72
2007,5,16,121.56
2007,5,17,121.09
2007,5,18,119.81
2007,5,19,119.14
2007,5,20,119.25
2007,5,21,118.26
2007,5,22,118.21
2007,5,23,121.65
2007,5,24,123.51
2007,5,25,123.02
2007,5,26,122.35
2007,5,27,122.28
2007,5,28,123.59
2007,5,29,124.74
2007,5,30,122
2007,5,31,120.66
2007,6,1,123.56
2007,6,2,127.24
2007,6,3,127.87
2007,6,4,126.65
2007,6,5,126.94
2007,6,6,126.95
2007,6,7,125.24
2007,6,8,123.27
2007,6,9,120.54
2007,6,10,119.62
2007,6,11,120.52
2007,6,12,118.76
2007,6,13,119.9
2007,6,14,118.64
2007,6,15,118.04
2007,6,16,118.84
2007,6,17,119.05
2007,6,18,117.98
2007,6,19,119.97
2007,6,20,118.63
2007,6,21,119.96
2007,6,22,119
2007,6,23,116.58
2007,6,24,116.32
2007,6,25,115.79
2007,6,26,114.03
2007,6,27,113.52
2007,6,28,113.26
2007,6,29,114.39
2007,6,30,116.13
2007,7,1,116.5
2007,7,2,118.75
2007,7,3,121.03
2007,7,4,124.9
2007,7,5,128.37
2007,7,6,130.47
2007,7,7,132.08
2007,7,8,132.45
2007,7,9,133.78
2007,7,10,132.31
2007,7,11,131.24
2007,7,12,129.2
2007,7,13,128.92
2007,7,14,130.01
2007,7,15,129.5
2007,7,16,127.05
2007,7,17,125.48
2007,7,18,122.39
2007,7,19,122.16
2007,7,20,122.63
2007,7,21,120.48
2007,7,22,120.66
2007,7,23,119.62
2007,7,24,121.9
2007,7,25,123.65
2007,7,26,125.38
2007,7,27,124.74
2007,7,28,121.48
2007,7,29,121.01
2007,7,30,121.65
2007,7,31,121.65
2007,8,1,123.64
2007,8,2,120.29
2007,8,3,117.72
2007,8,4,118.81
2007,8,5,117.72
2007,8,6,115.94
2007,8,7,113.03
2007,8,8,111.92
2007,8,9,116.86
2007,8,10,119.22
2007,8,11,117.14
2007,8,12,117.79
2007,8,13,120.46
2007,8,14,122.44
2007,8,15,119.07
2007,8,16,112.01
2007,8,17,104.77
2007,8,18,103.27
2007,8,19,103.39
2007,8,20,100.8
2007,8,21,103.1
2007,8,22,106.3
2007,8,23,109.99
2007,8,24,115.89
2007,8,25,118.22
2007,8,26,118.93
2007,8,27,121.12
2007,8,28,118.91
2007,8,29,116.41
2007,8,30,114.56
2007,8,31,114.08
2007,9,1,118.66
2007,9,2,119.13
2007,9,3,118.93
