순번/순위,구분,label,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
179.0,자기계발,1,헤어디자이너를 위한 고객과의 대화법,K402531668,9791188227013.0,13320.0,아이스토리(ISTORY),"하시모토 마나부 지음, 김은혜 옮김","13,000","11,700","1,300",10%,650점,20170522.0,2113.0
180.0,자기계발,1,생각정리스킬,K082536066,9791195901968.0,13320.0,천그루숲,복주환 지음,"14,000","12,600","1,400",10%,700점,20170120.0,9191.0
184.0,자기계발,1,기획흥신소,K762531325,9791187059264.0,13320.0,끌리는책,서대웅 지음,"15,000","13,500","1,500",10%,750점,20170928.0,196.0
193.0,자기계발,1,스웨덴 인생 노트,8925562502,9788925562506.0,3320.0,알에이치코리아(RHK),"대그 세바스찬 아란더 지음, 김성웅 옮김","13,000","11,700","1,300",10%,650점,20171110.0,129.0
194.0,자기계발,1,라인프렌즈 스터디플래너 스페셜 에디션,K792531340,9791186499719.0,13300.0,로고폴리스,로고폴리스 편집부 지음,"13,500","12,150","1,350",10%,670점,20171102.0,270.0
806.0,자기계발,0,난치병 혁명 생즙,1195379900,9791195379903.0,3510.0,청림뜰,이문현 지음,"23,000","20,700","2,300",10%,"1,150점",20141029.0,240.0
817.0,자기계발,0,미래기억,8974256029,9788974256029.0,13320.0,국일미디어(국일출판사),"이케다 타카마사 지음, 이동욱 옮김","13,000","11,700","1,300",10%,650점,20130610.0,380.0
854.0,자기계발,0,호모 콰렌스,K782531350,9791195650453.0,3320.0,디뷰북스,"마셜 골드스미스.댄 프라이스.로웨나 버드 외 31인 지음, 허병민 기획.엮음, 서영조 옮김","14,500","13,050","1,450",10%,720점,20171120.0,65.0
855.0,자기계발,0,퍼펙트 프리젠테이션 시즌 2,K442531250,9791161750835.0,94000.0,에이콘출판,김재성 지음,"30,000","27,000","3,000",10%,"1,500점",20171130.0,346.0
856.0,자기계발,0,성공하는 여자는 시계를 보지 않는다,8974256401,9788974256401.0,13320.0,국일미디어(국일출판사),"로라 밴더캠 지음, 김수진 옮김","14,800","13,320","1,480",10%,740점,20171115.0,30.0
857.0,자기계발,0,나는 합리적 이기주의가 좋다,K662531755,9791187962342.0,3320.0,다연,"미멍 지음, 원녕경 옮김","15,000","13,500","1,500",10%,750점,20171110.0,140.0
858.0,자기계발,0,청중을 사로잡는 말하기 기술,K172531141,9791188610082.0,13190.0,위닝북스,김주연 지음,"18,000","16,200","1,800",10%,900점,20171101.0,97.0
859.0,자기계발,0,[CD] 마음챙김 명상과 자기치유 - 상.하,K852531942,8809507020458.0,1.0,학지사,"존 카밧진 지음, 김교헌 외 옮김","30,000","30,000",0,0%,300점,20171023.0,422.0
860.0,자기계발,0,질러! 니 멋대로!,K092531746,9791188194025.0,13320.0,아틀라스북스,이정철 지음,"13,000","11,700","1,300",10%,650점,20171031.0,21.0
861.0,자기계발,0,도전하고 질문하고 의심하라,8998039206,9788998039202.0,3070.0,누벨끌레,김재연 지음,"16,500","14,850","1,650",10%,820점,20171023.0,31.0
862.0,자기계발,0,잘나가는 행정인의 조건,K232531535,9791157061044.0,3320.0,메디치미디어,김형묵 지음,"15,000","13,500","1,500",10%,750점,20171023.0,104.0
863.0,자기계발,0,생각정리를 위한 프레임워크의 기술 50,K772531538,9791158950866.0,13320.0,생각정리연구소,"요시자와 준토쿠 지음, 김정환 옮김","15,000","13,500","1,500",10%,750점,20170920.0,254.0
864.0,자기계발,0,평생 평범하게 살면서 스스로 위안하는 어리석음,8965781299,9788965781295.0,3320.0,미래타임즈,"늙은 백양나무의 부엉이 지음, 권하정 옮김","13,800","12,420","1,380",10%,690점,20171030.0,34.0
865.0,자기계발,0,"휴식, 노는 게 아니라 쉬는 것이다",K672532463,9791187201076.0,13320.0,큰그림,정경수 지음,"15,000","13,500","1,500",10%,750점,20171024.0,65.0
866.0,자기계발,0,오늘도 삽질 중,8901219492,9788901219493.0,3320.0,리더스북,"야마구치 마유 지음, 홍성민 옮김","13,500","12,150","1,350",10%,670점,20170927.0,43.0
867.0,자기계발,0,반퇴시대 나침반,K812531838,9791187132165.0,13320.0,유심(USIM),김용현 지음,"13,000","11,700","1,300",10%,390점,20170915.0,52.0
868.0,자기계발,0,나는 이제 하고 싶은 말을 하기로 했다,K732531627,9791160071825.0,13320.0,한즈미디어(한스미디어),강경희 지음,"12,800","11,520","1,280",10%,640점,20170925.0,62.0
869.0,자기계발,0,남 앞에서 떨지 않고 말하게 해주는 책,897425638X,9788974256388.0,3320.0,국일미디어(국일출판사),"카나이 히데유키 지음, 최현숙 옮김","13,000","11,700","1,300",10%,650점,20170920.0,70.0
870.0,자기계발,0,질문력,K302531420,9791187444183.0,13190.0,토트,"카와다 신세이 지음, 한은미 옮김","13,000","11,700","1,300",10%,650점,20171002.0,146.0
871.0,자기계발,0,나는 진짜 원하는 인생을 살고 있는가,8973434985,9788973434985.0,3320.0,평단(평단문화사),임재성 지음,"14,500","13,050","1,450",10%,720점,20170929.0,35.0
